seed,ending_firms,max_size,rank_slope,rank_r2,growth_excess_kurtosis,laplace_ks,dispersion_slope,dispersion_r2
101,397,26,-1.6040201111,0.9684715843,4.4914777757,0.2925426793,-0.1924867330,0.0883192821
102,405,19,-1.6647179992,0.9604497751,4.5745647364,0.2810000956,-0.2369231294,0.1464304177
103,369,36,-1.6604748648,0.9536395658,3.0251330990,0.2810881716,-0.2136001363,0.1303563501
104,360,90,-1.5451758725,0.9706374833,3.9120724051,0.2815461847,-0.0807234980,0.0394767322
105,336,53,-1.5298035817,0.9704320232,4.1148556568,0.2838742723,-0.1497199676,0.1112104551
106,366,43,-1.6310549067,0.9559958137,5.5535471378,0.2823991208,-0.3116677346,0.2250475660
107,382,26,-1.6267685971,0.9661312485,4.0299053980,0.2802831364,-0.0966664837,0.0250098027
108,379,60,-1.5681403623,0.9715467011,4.4381671577,0.2838256609,-0.2771335399,0.2601406228
109,371,63,-1.5819769543,0.9657414623,4.0512335569,0.2691937626,-0.1208547767,0.0706986783
110,364,40,-1.5650221104,0.9719206011,3.6047926080,0.2632954754,-0.1970692943,0.1495905964
111,383,113,-1.5763347910,0.9606027811,3.7085809977,0.2817051467,-0.0823393358,0.0488042946
112,380,34,-1.6076171822,0.9601155109,6.7715089285,0.2885347800,-0.1267057570,0.0860184248
113,384,28,-1.6321216139,0.9603629896,3.7058092394,0.2817681954,-0.1688598839,0.0958316153
114,395,20,-1.6261304856,0.9698776908,3.6449215552,0.2868173841,-0.2061806360,0.2059738149
115,410,26,-1.6010759168,0.9717417699,3.8505053169,0.2786838099,-0.2857089793,0.2495921211
116,409,33,-1.6781701653,0.9639131833,4.6114681969,0.2907836020,-0.1745051195,0.1269535914
117,394,21,-1.6511316289,0.9589201137,4.3074688918,0.2891256648,-0.2558004680,0.2578267782
118,363,80,-1.6391642767,0.9609439157,4.3847679558,0.2790136304,-0.0705975265,0.0623099474
119,372,38,-1.5707429796,0.9632111164,4.1744616257,0.2858687752,-0.2569057647,0.2506186059
120,359,47,-1.6493669768,0.9626139108,3.2542266861,0.2801085017,-0.1379901119,0.1357657527
