population,seed,observations,median_size,terminal_maximum,maximum_over_median,cutoff_sqrt,moment_sqrt,cutoff_three_quarters,moment_three_quarters,cutoff_tenth,moment_tenth
100,101,1128,2.0,8,4.0,10,11.25354609929078,32,14.810283687943262,10,11.25354609929078
100,102,1115,2,32,16.0,10,10.243946188340807,32,20.644843049327353,10,10.243946188340807
100,103,1104,2.0,17,8.5,10,11.72373188405797,32,16.858695652173914,10,11.72373188405797
100,104,1307,2,12,6.0,10,8.465187452180567,32,9.651109410864576,10,8.465187452180567
100,105,1171,1,8,8.0,10,10.274978650725876,32,16.653287788215202,10,10.274978650725876
250,101,3097,1,14,14.0,16,11.526961575718436,63,12.805941233451728,25,12.738133677752664
250,102,2727,1,33,33.0,16,14.214521452145215,63,26.438210487715438,25,18.123212321232124
250,103,2770,1.0,22,22.0,16,14.993140794223827,63,19.335740072202167,25,17.438628158844764
250,104,3006,1.0,18,18.0,16,11.211909514304724,63,17.240851630073188,25,12.61643379906853
250,105,2774,1.0,18,18.0,16,14.82335976928623,63,18.509733237202596,25,17.211607786589763
500,101,5516,1.0,60,60.0,22,16.990935460478607,106,22.829586656997826,50,20.917150108774475
500,102,5997,2,26,13.0,22,12.534934133733534,106,13.615807903951977,50,13.615807903951977
500,103,5894,1.0,30,30.0,22,14.251781472684085,106,15.996267390566677,50,15.703596878181202
500,104,5522,2.0,29,14.5,22,16.71966678739587,106,19.93915248098515,50,19.93915248098515
500,105,5347,1,24,24.0,22,17.50907050682626,106,33.1092201234337,50,26.98298111090331
1000,101,11717,1,26,26.0,32,17.301015618332336,178,20.003243150977212,100,20.003243150977212
1000,102,11576,1.0,19,19.0,32,16.02107809260539,178,18.08293020041465,100,18.08293020041465
1000,103,11560,1.0,36,36.0,32,16.05121107266436,178,16.478200692041522,100,16.478200692041522
1000,104,10875,1,90,90.0,32,19.722850574712645,178,27.88248275862069,100,26.210850574712644
1000,105,10907,1,53,53.0,32,20.170532685431375,178,27.023196112588245,100,26.193912166498578
