population,horizon,burn_in,seed,observations,ending_firms,ending_maximum,maximum_share,mean_size,size_variance,size_second_moment,normalized_second_moment,rank_size_slope
1000,20,10,101,3894,404,23,0.023,2.568053415511043,15.88995013993109,22.484848484848484,2.2484848484848486e-5,-1.5530256776095237
1000,20,10,102,3801,356,81,0.081,2.6308866087871614,15.176830810872655,22.09839515916864,2.209839515916864e-5,-1.6432187064496429
1000,20,10,103,3941,391,34,0.034,2.537427048972342,8.74187503432518,15.180411063181934,1.5180411063181934e-5,-1.7067030519709128
1000,20,10,104,3656,365,29,0.029,2.735229759299781,13.40473260585351,20.88621444201313,2.088621444201313e-5,-1.561188633746206
1000,20,10,105,3739,346,86,0.086,2.674511901577962,16.045167420224754,23.198181331906927,2.3198181331906925e-5,-1.5610852730528126
1000,40,20,101,7823,397,26,0.026,2.55656397801355,12.23197244531877,18.76799181899527,1.876799181899527e-5,-1.623608489914817
1000,40,20,102,7775,405,19,0.019,2.572347266881029,9.502900921206107,16.119871382636656,1.6119871382636656e-5,-1.6665074077609865
1000,40,20,103,7619,369,36,0.036,2.6250164063525396,10.258783550721567,17.14949468434178,1.714949468434178e-5,-1.6327039224083058
1000,40,20,104,7219,360,90,0.09,2.7704668236597865,23.75019580645569,31.425682227455326,3.1425682227455326e-5,-1.530033918918017
1000,40,20,105,7168,336,53,0.053,2.7901785714285716,21.233318718111953,29.018415178571427,2.9018415178571426e-5,-1.5084696113880487
1000,80,40,101,15302,389,48,0.048,2.6140373807345445,16.199614741250553,23.032806169128218,2.3032806169128218e-5,-1.6072241003477892
1000,80,40,102,15475,354,82,0.082,2.5848142164781907,12.978703156111894,19.659967689822295,1.9659967689822295e-5,-1.6276092683520393
1000,80,40,103,15014,374,26,0.026,2.6641800985746635,12.552870391435512,19.65072598907686,1.9650725989076862e-5,-1.6352464182655613
1000,80,40,104,14324,376,22,0.022,2.7925160569673277,18.01475549576153,25.81290142418319,2.5812901424183188e-5,-1.5391829006109903
1000,80,40,105,14048,351,49,0.049,2.847380410022779,26.619503388317696,34.72707858769932,3.472707858769932e-5,-1.4976128023353725
