population,seed,period,statistic,window_start,active_firms,mean_size,median_size,variance,second_moment,normalized_gini,maximum_size,maximum_over_median
100,20260909,1,instantaneous,1,54,1.8518518518518519,1.0,3.1632373113854593,6.592592592592593,0.37433962264150944,10,10.0
100,20260909,1,trailing,1,54.0,1.8518518518518519,1.0,3.1632373113854593,6.592592592592593,0.37433962264150944,10.0,10.0
100,20260909,2,instantaneous,2,43,2.3255813953488373,1,8.405624661979449,13.813953488372093,0.4542857142857143,18,18.0
100,20260909,2,trailing,1,48.5,2.0887166236003445,1.0,5.7844309866824535,10.203273040482342,0.41431266846361187,14.0,14.0
100,20260909,5,instantaneous,5,41,2.4390243902439024,1,4.587745389649019,10.536585365853659,0.422,10,10.0
100,20260909,5,trailing,1,40.8,2.5398813892400702,1.4,7.754553649969049,14.425676980607909,0.4374819301305428,14.4,11.0
100,20260909,10,instantaneous,10,34,2.9411764705882355,2.0,7.937716262975778,16.58823529411765,0.44545454545454544,14,7.0
100,20260909,10,trailing,1,37.6,2.7445017721222893,1.4,10.681160911090947,18.431018519072218,0.4678524808642871,16.5,13.3
100,20260909,20,instantaneous,20,34,2.9411764705882355,2.0,9.820069204152245,18.470588235294116,0.48727272727272725,13,6.5
100,20260909,20,trailing,1,36.55,2.7889123169540744,1.4,13.032851323458578,20.944619311207827,0.48717379659330257,18.0,15.025
100,20260909,50,instantaneous,50,35,2.857142857142857,1,10.179591836734692,18.34285714285714,0.5094117647058823,14,14.0
100,20260909,50,trailing,1,36.18,2.808686148418188,1.54,12.092008493383823,20.11292169920206,0.47989283961377666,16.92,12.689999999999998
100,20260909,100,instantaneous,100,34,2.9411764705882355,2.0,13.055363321799307,21.705882352941178,0.4781818181818182,21,10.5
100,20260909,100,trailing,1,34.56,2.95956400819463,1.565,17.342836685893523,26.327641015266796,0.49388639617946384,18.72,13.904999999999998
100,20260909,200,instantaneous,200,34,2.9411764705882355,1.0,7.937716262975778,16.58823529411765,0.47454545454545455,12,12.0
100,20260909,200,trailing,101,35.36,2.880498973572101,1.435,16.45019859627434,24.916244637991245,0.4958231275871315,19.72,16.294999999999998
100,20260909,500,instantaneous,500,43,2.3255813953488373,1,7.242833964305029,12.651162790697674,0.45571428571428574,14,14.0
100,20260909,500,trailing,401,36.07,2.8472153247362786,1.54,16.38870854150166,24.749824557020624,0.48508169467234885,18.8,14.567619047619049
100,20260909,1000,instantaneous,1000,29,3.4482758620689653,2,17.764565992865638,29.655172413793103,0.5414285714285715,20,10.0
100,20260909,1000,trailing,901,34.44,2.96198629342978,1.6,20.24426042441204,29.199435604724258,0.500926402267485,21.51,15.781666666666665
100,20260909,2000,instantaneous,2000,34,2.9411764705882355,1.0,29.34948096885813,38.0,0.5703030303030303,32,32.0
100,20260909,2000,trailing,1901,34.36,2.9871933301842954,1.385,22.624694017149253,31.81533075428451,0.5137027711576037,22.03,18.603333333333335
100,20260909,5000,instantaneous,5000,39,2.5641025641025643,1,8.09204470742932,14.666666666666666,0.48105263157894734,14,14.0
100,20260909,5000,trailing,4901,35.47,2.8806191765529148,1.375,17.93786068380433,26.432235919088736,0.5013603483304834,19.81,16.62
