population,seed,mean_normalized_gini
100,101,0.4425820212497978
100,102,0.4814986613017208
100,103,0.46390920039356975
100,104,0.39623491110923875
100,105,0.4755053391712982
250,101,0.43742032787312657
250,102,0.4933973071897539
250,103,0.47576946639144224
250,104,0.45069862308200964
250,105,0.47352484555211877
500,101,0.48378305907605285
500,102,0.431470705812579
500,103,0.4532608159886642
500,104,0.47177720972103254
500,105,0.5057900362229717
1000,101,0.4685482243080851
1000,102,0.4577452454812376
1000,103,0.455651002434971
1000,104,0.48899470897114666
1000,105,0.49160327405524235
