population,seed,observations,ending_firms,ending_maximum,maximum_share,mean_size,size_variance,size_second_moment,normalized_second_moment,rank_size_slope
100,101,1128,37,8,0.08,2.6595744680851063,7.736947336653087,14.810283687943262,0.0014810283687943261,-1.7192420315026014
100,102,1115,33,32,0.32,2.690582959641256,15.069283516660468,22.3085201793722,0.00223085201793722,-1.5459993779806154
100,103,1104,32,17,0.17,2.717391304347826,9.474480151228734,16.858695652173914,0.0016858695652173913,-1.591858190130982
100,104,1307,48,12,0.12,2.295332823259373,4.382556641332783,9.651109410864576,0.0009651109410864576,-1.9958500212779329
100,105,1171,50,8,0.08,2.5619128949615715,14.013886690960957,20.57728437233134,0.0020577284372331342,-1.5567719326859184
250,101,3097,105,14,0.056,2.4216984178237,6.941318006561969,12.805941233451728,0.00020489505973522764,-1.7377334420242383
250,102,2727,83,33,0.132,2.75027502750275,19.765653573057573,27.32966629996333,0.00043727466079941326,-1.5277422269777254
250,103,2770,87,22,0.088,2.707581227436823,12.004743969033772,19.335740072202167,0.0003093718411552347,-1.5450681398377704
250,104,3006,107,18,0.072,2.4950099800399204,16.677120808284233,22.902195608782435,0.00036643512974051897,-1.7199752944966404
250,105,2774,91,18,0.072,2.7036770007209805,11.199863912974827,18.509733237202596,0.0002961557317952415,-1.5810094541935968
500,101,5516,176,60,0.12,2.719361856417694,15.434657750857822,22.829586656997826,9.13183466279913e-5,-1.5390177277028696
500,102,5997,197,26,0.052,2.5012506253126565,7.359553213324772,13.615807903951977,5.44632316158079e-5,-1.7917855814879533
500,103,5894,200,30,0.06,2.5449609772650152,9.519441014765107,15.996267390566677,6.39850695622667e-5,-1.6575547105773323
500,104,5522,183,29,0.058,2.716407098877218,12.560284954154858,19.93915248098515,7.97566099239406e-5,-1.5906740390274243
500,105,5347,175,24,0.048,2.8053113895642414,25.279283552746858,33.14905554516552,0.00013259622218066207,-1.4868323770173089
1000,101,11717,397,26,0.026,2.5603823504309977,13.447685370577632,20.003243150977212,2.0003243150977212e-5,-1.6040201110966155
1000,102,11576,405,19,0.019,2.5915687629578437,11.366701547274412,18.08293020041465,1.808293020041465e-5,-1.6647179992277132
1000,103,11560,369,36,0.036,2.5951557093425603,9.743367536307312,16.478200692041522,1.647820069204152e-5,-1.660474864754028
1000,104,10875,360,90,0.09,2.7586206896551726,20.272494649226743,27.88248275862069,2.788248275862069e-5,-1.5451758725346383
1000,105,10907,336,53,0.053,2.7505271843770056,19.45779632059267,27.023196112588245,2.7023196112588244e-5,-1.5298035817028985
